pp,psoe,distrito,seccion,cod_muni,total_votes,tract_code,share_pp,share_psoe
150,86,02,033,005,406,2800502033,0.3694581280788177,0.21182266009852216
148,69,02,033,005,374,2800502033,0.39572192513368987,0.18449197860962566
187,104,02,034,005,450,2800502034,0.41555555555555557,0.2311111111111111
153,94,02,034,005,397,2800502034,0.3853904282115869,0.2367758186397985
175,95,02,035,005,439,2800502035,0.39863325740318906,0.2164009111617312
166,87,02,035,005,488,2800502035,0.3401639344262295,0.17827868852459017
197,96,02,036,005,499,2800502036,0.39478957915831664,0.19238476953907815
184,111,02,036,005,485,2800502036,0.37938144329896906,0.2288659793814433
230,118,02,037,005,564,2800502037,0.4078014184397163,0.20921985815602837
171,85,03,001,005,402,2800503001,0.4253731343283582,0.21144278606965175
133,88,03,001,005,349,2800503001,0.38108882521489973,0.2521489971346705
193,143,03,002,005,542,2800503002,0.35608856088560886,0.26383763837638374
168,108,03,003,005,430,2800503003,0.39069767441860465,0.25116279069767444
162,94,03,004,005,405,2800503004,0.4,0.23209876543209876
152,89,03,004,005,421,2800503004,0.36104513064133015,0.21140142517814728
144,132,03,005,005,404,2800503005,0.3564356435643564,0.32673267326732675
139,107,03,006,005,398,2800503006,0.3492462311557789,0.26884422110552764
150,107,03,006,005,393,2800503006,0.3816793893129771,0.272264631043257
247,135,03,007,005,642,2800503007,0.3847352024922118,0.2102803738317757
219,129,03,007,005,573,2800503007,0.38219895287958117,0.225130890052356
223,148,03,008,005,596,2800503008,0.37416107382550334,0.24832214765100671
88,95,03,009,005,296,2800503009,0.2972972972972973,0.32094594594594594
95,67,03,009,005,259,2800503009,0.3667953667953668,0.25868725868725867
115,107,03,011,005,359,2800503011,0.3203342618384401,0.298050139275766
144,104,03,011,005,398,2800503011,0.36180904522613067,0.2613065326633166
100,61,03,012,005,288,2800503012,0.3472222222222222,0.21180555555555555
117,106,03,012,005,356,2800503012,0.32865168539325845,0.29775280898876405
219,64,03,013,005,449,2800503013,0.48775055679287305,0.14253897550111358
232,70,03,013,005,508,2800503013,0.4566929133858268,0.13779527559055119
217,84,03,014,005,531,2800503014,0.4086629001883239,0.15819209039548024
295,109,03,014,005,695,2800503014,0.4244604316546763,0.15683453237410072
285,113,03,014,005,694,2800503014,0.4106628242074928,0.1628242074927954
277,119,03,015,005,667,2800503015,0.41529235382308843,0.17841079460269865
313,101,03,015,005,646,2800503015,0.4845201238390093,0.1563467492260062
309,100,03,016,005,635,2800503016,0.48661417322834644,0.15748031496062992
321,94,03,016,005,662,2800503016,0.48489425981873113,0.1419939577039275
272,70,03,017,005,536,2800503017,0.5074626865671642,0.13059701492537312
298,96,03,017,005,602,2800503017,0.4950166112956811,0.15946843853820597
303,78,04,001,005,584,2800504001,0.5188356164383562,0.13356164383561644
329,75,04,001,005,651,2800504001,0.5053763440860215,0.1152073732718894
326,79,04,001,005,635,2800504001,0.5133858267716536,0.12440944881889764
249,100,04,002,005,517,2800504002,0.4816247582205029,0.19342359767891681
239,97,04,002,005,532,2800504002,0.4492481203007519,0.18233082706766918
304,94,04,003,005,641,2800504003,0.47425897035881437,0.14664586583463338
264,112,04,003,005,647,2800504003,0.4080370942812983,0.1731066460587326
238,67,04,004,005,454,2800504004,0.5242290748898678,0.14757709251101322
218,69,04,004,005,458,2800504004,0.4759825327510917,0.15065502183406113
175,80,04,005,005,476,2800504005,0.36764705882352944,0.16806722689075632
164,81,04,005,005,459,2800504005,0.3572984749455338,0.17647058823529413
212,82,04,006,005,529,2800504006,0.4007561436672968,0.15500945179584122
221,96,04,006,005,542,2800504006,0.4077490774907749,0.17712177121771217
276,70,04,007,005,517,2800504007,0.5338491295938105,0.13539651837524178
320,90,04,007,005,648,2800504007,0.49382716049382713,0.1388888888888889
276,95,04,007,005,579,2800504007,0.47668393782383417,0.16407599309153714
341,103,04,008,005,731,2800504008,0.466484268125855,0.1409028727770178
291,82,04,008,005,613,2800504008,0.47471451876019577,0.13376835236541598
227,95,04,009,005,545,2800504009,0.41651376146788993,0.1743119266055046
216,99,04,009,005,536,2800504009,0.40298507462686567,0.18470149253731344
201,66,04,010,005,422,2800504010,0.476303317535545,0.15639810426540285
251,75,04,010,005,519,2800504010,0.4836223506743738,0.14450867052023122
227,74,04,010,005,477,2800504010,0.4758909853249476,0.15513626834381553
275,122,04,011,005,683,2800504011,0.40263543191800877,0.17862371888726208
297,144,04,011,005,729,2800504011,0.4074074074074074,0.19753086419753085
146,62,04,012,005,382,2800504012,0.38219895287958117,0.16230366492146597
135,62,04,012,005,403,2800504012,0.3349875930521092,0.15384615384615385
282,105,04,013,005,616,2800504013,0.4577922077922078,0.17045454545454544
277,86,04,013,005,584,2800504013,0.4743150684931507,0.14726027397260275
245,99,04,014,005,594,2800504014,0.41245791245791247,0.16666666666666666
258,98,04,014,005,554,2800504014,0.4657039711191336,0.17689530685920576
146,97,04,015,005,417,2800504015,0.3501199040767386,0.23261390887290168
197,80,04,016,005,482,2800504016,0.4087136929460581,0.16597510373443983
201,98,04,016,005,510,2800504016,0.3941176470588235,0.19215686274509805
247,82,04,017,005,616,2800504017,0.400974025974026,0.1331168831168831
289,87,04,017,005,681,2800504017,0.4243759177679883,0.1277533039647577
204,54,04,018,005,467,2800504018,0.43683083511777304,0.11563169164882227
250,82,04,018,005,602,2800504018,0.4152823920265781,0.1362126245847176
228,69,04,018,005,588,2800504018,0.3877551020408163,0.11734693877551021
200,101,05,001,005,483,2800505001,0.4140786749482402,0.20910973084886128
205,78,05,002,005,412,2800505002,0.4975728155339806,0.18932038834951456
217,72,05,002,005,436,2800505002,0.49770642201834864,0.1651376146788991
142,100,05,003,005,378,2800505003,0.37566137566137564,0.26455026455026454
189,99,05,003,005,404,2800505003,0.46782178217821785,0.24504950495049505
138,90,05,004,005,324,2800505004,0.42592592592592593,0.2777777777777778
113,80,05,004,005,283,2800505004,0.3992932862190813,0.2826855123674912
152,75,05,005,005,328,2800505005,0.4634146341463415,0.22865853658536586
121,70,05,005,005,302,2800505005,0.40066225165562913,0.23178807947019867
252,92,05,006,005,540,2800505006,0.4666666666666667,0.17037037037037037
237,99,05,007,005,539,2800505007,0.4397031539888683,0.1836734693877551
280,104,05,007,005,612,2800505007,0.45751633986928103,0.16993464052287582
261,139,05,008,005,613,2800505008,0.4257748776508972,0.2267536704730832
81,64,05,009,005,296,2800505009,0.27364864864864863,0.21621621621621623
66,60,05,009,005,253,2800505009,0.2608695652173913,0.23715415019762845
137,109,05,010,005,380,2800505010,0.3605263157894737,0.2868421052631579
118,71,05,011,005,317,2800505011,0.3722397476340694,0.22397476340694006
120,68,05,011,005,325,2800505011,0.36923076923076925,0.20923076923076922
122,84,05,012,005,370,2800505012,0.32972972972972975,0.22702702702702704
127,95,05,012,005,391,2800505012,0.3248081841432225,0.24296675191815856
215,48,05,013,005,382,2800505013,0.56282722513089,0.1256544502617801
228,40,05,013,005,401,2800505013,0.5685785536159601,0.09975062344139651
120,66,05,014,005,340,2800505014,0.35294117647058826,0.19411764705882353
183,104,05,014,005,502,2800505014,0.3645418326693227,0.20717131474103587
163,84,05,014,005,405,2800505014,0.4024691358024691,0.2074074074074074
240,64,05,015,005,427,2800505015,0.5620608899297423,0.14988290398126464
239,86,05,015,005,532,2800505015,0.4492481203007519,0.16165413533834586
335,106,05,016,005,658,2800505016,0.5091185410334347,0.16109422492401215
144,92,05,017,005,387,2800505017,0.37209302325581395,0.23772609819121446
129,79,05,017,005,338,2800505017,0.3816568047337278,0.23372781065088757
240,118,05,018,005,590,2800505018,0.4067796610169492,0.2
127,107,05,019,005,352,2800505019,0.36079545454545453,0.3039772727272727
159,95,05,020,005,403,2800505020,0.3945409429280397,0.23573200992555832
143,128,05,020,005,415,2800505020,0.344578313253012,0.30843373493975906
166,102,05,021,005,434,2800505021,0.3824884792626728,0.2350230414746544
164,123,05,021,005,483,2800505021,0.33954451345755693,0.2546583850931677
326,116,05,022,005,703,2800505022,0.46372688477951635,0.16500711237553342
367,120,05,022,005,741,2800505022,0.49527665317139,0.16194331983805668
175,114,05,023,005,453,2800505023,0.38631346578366443,0.25165562913907286
184,104,05,023,005,454,2800505023,0.4052863436123348,0.2290748898678414
150,91,05,024,005,350,2800505024,0.42857142857142855,0.26
133,91,05,024,005,345,2800505024,0.3855072463768116,0.263768115942029
163,57,05,025,005,322,2800505025,0.5062111801242236,0.17701863354037267
156,57,05,025,005,312,2800505025,0.5,0.18269230769230768
119,57,05,026,005,311,2800505026,0.38263665594855306,0.1832797427652733
134,68,05,026,005,328,2800505026,0.40853658536585363,0.2073170731707317
124,84,05,027,005,327,2800505027,0.37920489296636084,0.25688073394495414
175,38,05,028,005,337,2800505028,0.5192878338278932,0.11275964391691394
226,36,05,028,005,372,2800505028,0.6075268817204301,0.0967741935483871
205,129,05,029,005,531,2800505029,0.3860640301318267,0.24293785310734464
287,120,05,029,005,603,2800505029,0.4759535655058043,0.19900497512437812
302,40,05,030,005,492,2800505030,0.6138211382113821,0.08130081300813008
302,70,05,031,005,562,2800505031,0.5373665480427047,0.12455516014234876
252,76,05,032,005,514,2800505032,0.490272373540856,0.14785992217898833
275,97,05,032,005,590,2800505032,0.4661016949152542,0.16440677966101694
163,78,01,001,006,369,2800601001,0.44173441734417346,0.21138211382113822
155,73,01,001,006,363,2800601001,0.42699724517906334,0.20110192837465565
224,137,01,002,006,563,2800601002,0.3978685612788632,0.2433392539964476
185,116,01,002,006,487,2800601002,0.3798767967145791,0.23819301848049282
143,75,01,003,006,346,2800601003,0.41329479768786126,0.21676300578034682
166,69,01,003,006,342,2800601003,0.4853801169590643,0.20175438596491227
261,108,01,004,006,578,2800601004,0.4515570934256055,0.18685121107266436
232,99,01,004,006,521,2800601004,0.44529750479846447,0.19001919385796545
159,87,01,005,006,415,2800601005,0.38313253012048193,0.20963855421686747
141,75,01,006,006,331,2800601006,0.4259818731117825,0.22658610271903323
110,80,01,006,006,313,2800601006,0.3514376996805112,0.25559105431309903
152,124,01,007,006,412,2800601007,0.36893203883495146,0.30097087378640774
142,86,01,007,006,359,2800601007,0.3955431754874652,0.2395543175487465
175,86,01,008,006,402,2800601008,0.43532338308457713,0.21393034825870647
154,101,01,008,006,376,2800601008,0.4095744680851064,0.26861702127659576
206,113,01,009,006,491,2800601009,0.4195519348268839,0.23014256619144602
207,128,01,009,006,550,2800601009,0.37636363636363634,0.23272727272727273
124,104,01,011,006,347,2800601011,0.3573487031700288,0.29971181556195964
188,121,01,012,006,470,2800601012,0.4,0.2574468085106383
178,85,01,013,006,430,2800601013,0.413953488372093,0.19767441860465115
178,113,01,013,006,433,2800601013,0.4110854503464203,0.26096997690531176
145,92,01,014,006,383,2800601014,0.3785900783289817,0.2402088772845953
156,104,01,014,006,390,2800601014,0.4,0.26666666666666666
179,119,01,015,006,443,2800601015,0.4040632054176072,0.2686230248306998
166,119,01,015,006,488,2800601015,0.3401639344262295,0.24385245901639344
162,74,01,016,006,358,2800601016,0.45251396648044695,0.20670391061452514
143,69,01,016,006,331,2800601016,0.43202416918429004,0.2084592145015106
180,131,01,017,006,455,2800601017,0.3956043956043956,0.2879120879120879
145,110,01,018,006,410,2800601018,0.35365853658536583,0.2682926829268293
159,103,01,018,006,425,2800601018,0.37411764705882355,0.24235294117647058
126,73,01,019,006,303,2800601019,0.4158415841584158,0.24092409240924093
145,106,01,020,006,413,2800601020,0.35108958837772397,0.2566585956416465
156,105,01,021,006,397,2800601021,0.3929471032745592,0.26448362720403024
160,102,01,021,006,409,2800601021,0.39119804400978,0.24938875305623473
164,80,01,022,006,399,2800601022,0.41102756892230574,0.20050125313283207
165,83,01,022,006,369,2800601022,0.44715447154471544,0.22493224932249323
244,113,01,023,006,555,2800601023,0.43963963963963965,0.2036036036036036
245,138,01,023,006,597,2800601023,0.4103852596314908,0.23115577889447236
161,77,01,024,006,328,2800601024,0.49085365853658536,0.2347560975609756
134,72,01,024,006,290,2800601024,0.46206896551724136,0.2482758620689655
215,110,01,025,006,490,2800601025,0.4387755102040816,0.22448979591836735
207,115,01,025,006,480,2800601025,0.43125,0.23958333333333334
280,127,01,026,006,651,2800601026,0.43010752688172044,0.19508448540706605
163,89,01,027,006,402,2800601027,0.4054726368159204,0.22139303482587064
179,100,01,027,006,453,2800601027,0.39514348785871967,0.22075055187637968
184,99,01,027,006,431,2800601027,0.42691415313225056,0.2296983758700696
173,123,01,028,006,467,2800601028,0.37044967880085655,0.2633832976445396
186,136,01,028,006,524,2800601028,0.3549618320610687,0.2595419847328244
129,113,01,029,006,382,2800601029,0.337696335078534,0.29581151832460734
130,145,01,029,006,412,2800601029,0.3155339805825243,0.35194174757281554
197,86,01,030,006,473,2800601030,0.4164904862579281,0.18181818181818182
227,103,01,030,006,514,2800601030,0.44163424124513617,0.20038910505836577
192,90,01,030,006,437,2800601030,0.43935926773455375,0.20594965675057209
216,101,01,031,006,496,2800601031,0.43548387096774194,0.20362903225806453
243,113,01,031,006,510,2800601031,0.4764705882352941,0.22156862745098038
260,134,01,032,006,632,2800601032,0.41139240506329117,0.2120253164556962
248,110,01,032,006,548,2800601032,0.45255474452554745,0.20072992700729927
452,27,01,033,006,597,2800601033,0.7571189279731994,0.04522613065326633
495,25,01,033,006,641,2800601033,0.7722308892355694,0.0390015600624025
304,13,01,034,006,397,2800601034,0.7657430730478589,0.0327455919395466
336,19,01,034,006,434,2800601034,0.7741935483870968,0.04377880184331797
366,6,01,035,006,450,2800601035,0.8133333333333334,0.013333333333333334
431,11,01,036,006,544,2800601036,0.7922794117647058,0.02022058823529412
486,10,01,036,006,613,2800601036,0.7928221859706363,0.01631321370309951
223,24,01,037,006,344,2800601037,0.6482558139534884,0.06976744186046512
242,21,01,037,006,355,2800601037,0.6816901408450704,0.059154929577464786
229,112,01,038,006,517,2800601038,0.44294003868471954,0.21663442940038685
204,91,01,038,006,474,2800601038,0.43037974683544306,0.19198312236286919
309,32,01,039,006,451,2800601039,0.6851441241685144,0.07095343680709534
442,39,01,039,006,592,2800601039,0.7466216216216216,0.06587837837837837
363,38,01,039,006,531,2800601039,0.6836158192090396,0.07156308851224105
464,12,01,040,006,563,2800601040,0.8241563055062167,0.021314387211367674
450,10,01,040,006,538,2800601040,0.8364312267657993,0.01858736059479554
464,22,01,041,006,593,2800601041,0.7824620573355818,0.03709949409780776
465,29,01,041,006,603,2800601041,0.7711442786069652,0.04809286898839138
144,79,01,042,006,316,2800601042,0.45569620253164556,0.25
143,90,01,042,006,322,2800601042,0.4440993788819876,0.2795031055900621
212,111,01,043,006,481,2800601043,0.4407484407484408,0.23076923076923078
289,118,01,044,006,607,2800601044,0.47611202635914335,0.19439868204283361
262,103,01,044,006,557,2800601044,0.4703770197486535,0.18491921005385997
196,95,01,045,006,466,2800601045,0.4206008583690987,0.20386266094420602
190,102,01,045,006,468,2800601045,0.405982905982906,0.21794871794871795
198,110,01,046,006,468,2800601046,0.4230769230769231,0.23504273504273504
285,142,01,047,006,653,2800601047,0.43644716692189894,0.21745788667687596
498,26,01,048,006,615,2800601048,0.8097560975609757,0.04227642276422764
503,24,01,048,006,658,2800601048,0.7644376899696048,0.0364741641337386
236,113,01,049,006,590,2800601049,0.4,0.19152542372881357
237,111,01,049,006,620,2800601049,0.38225806451612904,0.17903225806451614
278,82,01,050,006,572,2800601050,0.486013986013986,0.14335664335664336
328,73,01,050,006,626,2800601050,0.5239616613418531,0.11661341853035144
290,136,01,051,006,702,2800601051,0.4131054131054131,0.19373219373219372
325,124,01,051,006,727,2800601051,0.4470426409903714,0.17056396148555708
281,91,01,052,006,570,2800601052,0.49298245614035086,0.15964912280701754
289,97,01,052,006,591,2800601052,0.4890016920473773,0.16412859560067683
385,103,01,053,006,720,2800601053,0.5347222222222222,0.14305555555555555
410,126,01,053,006,788,2800601053,0.5203045685279187,0.1598984771573604
222,97,01,054,006,538,2800601054,0.41263940520446096,0.18029739776951673
194,79,01,054,006,480,2800601054,0.4041666666666667,0.16458333333333333
259,95,01,055,006,612,2800601055,0.42320261437908496,0.15522875816993464
291,116,01,055,006,648,2800601055,0.44907407407407407,0.17901234567901234
193,94,01,056,006,491,2800601056,0.39307535641547864,0.19144602851323828
167,94,01,056,006,478,2800601056,0.3493723849372385,0.19665271966527198
279,75,01,057,006,533,2800601057,0.5234521575984991,0.14071294559099437
292,119,01,057,006,624,2800601057,0.46794871794871795,0.1907051282051282
146,78,01,058,006,421,2800601058,0.34679334916864607,0.18527315914489312
161,103,01,058,006,439,2800601058,0.36674259681093396,0.23462414578587698
364,13,01,059,006,459,2800601059,0.7930283224400871,0.02832244008714597
419,13,01,059,006,524,2800601059,0.799618320610687,0.02480916030534351
437,21,01,059,006,543,2800601059,0.8047882136279927,0.03867403314917127
352,55,01,060,006,647,2800601060,0.5440494590417311,0.08500772797527048
186,116,01,061,006,508,2800601061,0.3661417322834646,0.2283464566929134
187,80,01,062,006,486,2800601062,0.38477366255144035,0.1646090534979424
209,69,01,062,006,558,2800601062,0.37455197132616486,0.12365591397849462
294,82,01,063,006,588,2800601063,0.5,0.13945578231292516
316,100,01,063,006,632,2800601063,0.5,0.15822784810126583
209,105,01,064,006,567,2800601064,0.36860670194003525,0.18518518518518517
245,118,01,064,006,596,2800601064,0.4110738255033557,0.19798657718120805
193,107,01,065,006,468,2800601065,0.41239316239316237,0.22863247863247863
205,89,01,065,006,533,2800601065,0.38461538461538464,0.1669793621013133
199,87,01,066,006,471,2800601066,0.42250530785562634,0.18471337579617833
193,120,01,066,006,526,2800601066,0.3669201520912547,0.22813688212927757
190,111,01,066,006,504,2800601066,0.376984126984127,0.22023809523809523
480,36,01,067,006,694,2800601067,0.69164265129683,0.05187319884726225
399,34,01,068,006,561,2800601068,0.7112299465240641,0.06060606060606061
396,32,01,068,006,550,2800601068,0.72,0.05818181818181818
164,76,01,001,007,368,2800701001,0.44565217391304346,0.20652173913043478
175,78,01,001,007,409,2800701001,0.4278728606356968,0.19070904645476772
164,93,01,002,007,410,2800701002,0.4,0.22682926829268293
144,105,01,002,007,395,2800701002,0.36455696202531646,0.26582278481012656
164,84,01,003,007,376,2800701003,0.43617021276595747,0.22340425531914893
142,88,01,003,007,364,2800701003,0.3901098901098901,0.24175824175824176
115,68,01,004,007,316,2800701004,0.3639240506329114,0.21518987341772153
89,61,01,004,007,257,2800701004,0.3463035019455253,0.23735408560311283
164,102,01,005,007,406,2800701005,0.4039408866995074,0.2512315270935961
183,93,01,005,007,405,2800701005,0.45185185185185184,0.22962962962962963
171,108,01,006,007,445,2800701006,0.3842696629213483,0.24269662921348314
131,81,01,007,007,324,2800701007,0.404320987654321,0.25
142,69,01,007,007,323,2800701007,0.43962848297213625,0.21362229102167182
193,146,01,008,007,505,2800701008,0.3821782178217822,0.2891089108910891
157,117,01,008,007,434,2800701008,0.3617511520737327,0.2695852534562212
127,92,01,010,007,319,2800701010,0.3981191222570533,0.2884012539184953
136,67,01,010,007,312,2800701010,0.4358974358974359,0.21474358974358973
241,158,01,011,007,612,2800701011,0.3937908496732026,0.2581699346405229
94,62,01,012,007,261,2800701012,0.36015325670498083,0.23754789272030652
108,68,01,012,007,302,2800701012,0.3576158940397351,0.2251655629139073
166,128,01,013,007,499,2800701013,0.33266533066132264,0.2565130260521042
174,104,01,014,007,447,2800701014,0.38926174496644295,0.232662192393736
378,81,01,015,007,659,2800701015,0.5735963581183612,0.12291350531107739
202,68,01,016,007,446,2800701016,0.452914798206278,0.15246636771300448
230,87,01,016,007,535,2800701016,0.42990654205607476,0.16261682242990655
250,86,01,016,007,556,2800701016,0.44964028776978415,0.15467625899280577
270,90,01,017,007,617,2800701017,0.4376012965964344,0.1458670988654781
272,104,01,017,007,639,2800701017,0.42566510172143973,0.162754303599374
237,84,01,018,007,497,2800701018,0.4768611670020121,0.16901408450704225
244,69,01,018,007,482,2800701018,0.5062240663900415,0.14315352697095435
231,71,01,019,007,475,2800701019,0.4863157894736842,0.14947368421052631
210,84,01,019,007,503,2800701019,0.41749502982107356,0.16699801192842942
243,53,01,020,007,456,2800701020,0.5328947368421053,0.1162280701754386
309,58,01,020,007,561,2800701020,0.5508021390374331,0.10338680926916222
